公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
信必优(深圳)信息技术有限公司,Symbio-Freeborders,2000人以上,未融资,罗湖区,Python开发,5-10年,本科,17k-19k,"项目稳定,老板好,团队氛围好,福利待遇好","['5', '10']",7.5,"['17', '19']",17.5
深圳市易讯天空网络技术有限公司,500.com集团,150-500人,上市公司,南山区,Python开发工程师,3-5年,本科,15k-25k,氛围轻松,"['3', '5']",4.0,"['15', '25']",17.5
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,福田区,资深python开发工程师,5-10年,本科,15k-25k,大数据上市公司 福利待遇好 成长空间大,"['5', '10']",7.5,"['15', '25']",17.5
深圳开黑科技有限公司,暴鸡电竞,50-150人,A轮,南山区,高级Python开发工程师,5-10年,本科,16k-30k,"技术大牛多,福利待遇好,电竞风口,团队稳定","['5', '10']",7.5,"['16', '30']",19.5
海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,50-150人,未融资,南山区,Python工程师,3-5年,本科,12k-20k,"福利好,金融科技,大数据,发展空间大","['3', '5']",4.0,"['12', '20']",14.0
深圳市环球易购电子商务有限公司,环球易购,2000人以上,上市公司,南山区,高级python开发工程师,3-5年,大专,15k-25k,上市公司,"['3', '5']",4.0,"['15', '25']",17.5
深圳市博奥特科技有限公司,博奥特科技,150-500人,未融资,福田区,python开发工程师,3-5年,本科,15k-25k,"双休,晋升空间大,平台好,五险一金","['3', '5']",4.0,"['15', '25']",17.5
信必优(深圳)信息技术有限公司,Symbio-Freeborders,2000人以上,未融资,罗湖区,Python,3-5年,本科,12k-15k,"项目稳定,老板好,团队氛围好,不加班","['3', '5']",4.0,"['12', '15']",12.75
深圳开黑科技有限公司,暴鸡电竞,50-150人,A轮,南山区,Python研发工程师,1-3年,本科,13k-25k,"电竞类项目,融资速度快,高期权,腾讯系团队","['1', '3']",2.0,"['13', '25']",16.0
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,福田区,高级python开发工程师,3-5年,本科,15k-20k,大数据上市公司 福利待遇好 发展空间大,"['3', '5']",4.0,"['15', '20']",16.25
万科物业发展有限公司,万科物业,2000人以上,不需要融资,福田区,高级Python开发,3-5年,本科,15k-25k,"弹性工作,团队激情","['3', '5']",4.0,"['15', '25']",17.5
深圳市天方达健信科技有限公司,天方达健信科技,150-500人,A轮,罗湖区,Python工程师,1-3年,大专,6k-12k,"周末双休,五险一金,年终奖金,节日福利","['1', '3']",2.0,"['6', '12']",7.5
深圳回收宝科技有限公司,回收宝,150-500人,B轮,南山区,Python开发工程师,3-5年,本科,15k-22k,"腾讯系团队,大牛导师多,发展前景广,薪资待遇好","['3', '5']",4.0,"['15', '22']",16.75
深圳市百米生活股份有限公司,百米生活,150-500人,B轮,龙华新区,python高级工程师,5-10年,大专,15k-25k,"完善福利,周末双休,福利好,办公环境好","['5', '10']",7.5,"['15', '25']",17.5
北京火币天下网络技术有限公司,火币网,150-500人,A轮,南山区,高级Python工程师,3-5年,大专,25k-30k,"五险一金,双休","['3', '5']",4.0,"['25', '30']",26.25
深圳市零壹移动互联系统有限公司,零壹互联,150-500人,A轮,龙华新区,python开发工程师,3-5年,本科,15k-30k,"人工智能,前沿项目","['3', '5']",4.0,"['15', '30']",18.75
深圳柚子街科技有限公司,柚子街,15-50人,A轮,南山区,Python工程师,1-3年,大专,8k-15k,"业界前沿,业绩激励,弹性办公,大牛多","['1', '3']",2.0,"['8', '15']",9.75
深圳市爱比分科技有限公司,爱比分,50-150人,不需要融资,南山区,Python开发工程师,3-5年,大专,15k-30k,"弹性,双薪,奖金,有钱","['3', '5']",4.0,"['15', '30']",18.75
智言科技(深圳)有限公司,智言科技,50-150人,A轮,南山区,高级python开发工程师/专家,5-10年,本科,15k-30k,"福利待遇,六险一金,博士团队,人工智能","['5', '10']",7.5,"['15', '30']",18.75
深圳市微课科技有限公司,荔枝微课,50-150人,A轮,南山区,Python工程师,1-3年,本科,10k-15k,"五险一金,带薪年假","['1', '3']",2.0,"['10', '15']",11.25
深圳市博奥特科技有限公司,博奥特科技,150-500人,未融资,福田区,python开发工程师,1-3年,大专,10k-20k,"晋升空间大,福利待遇好","['1', '3']",2.0,"['10', '20']",12.5
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,极光调研 - 高级 Python 工程师,3-5年,本科,18k-35k,"D轮+,14薪+,攻城狮氛围,牛掰团队","['3', '5']",4.0,"['18', '35']",22.25
深圳呗佬智能有限公司,Bello,15-50人,A轮,南山区,python开发工程师,3-5年,本科,15k-30k,"硅谷技术,AI领域","['3', '5']",4.0,"['15', '30']",18.75
智言科技(深圳)有限公司,智言科技,50-150人,A轮,南山区,Python开发工程师,3-5年,本科,10k-20k,"海归团队,成长空简大,薪酬福利好,扁平管理","['3', '5']",4.0,"['10', '20']",12.5
深圳市永顺智信息技术有限公司,永顺智,15-50人,不需要融资,龙华新区,python,1-3年,大专,6k-11k,"双休,智能家居","['1', '3']",2.0,"['6', '11']",7.25
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,南山区,主管Python开发工程师,3-5年,本科,12k-20k,"上市公司,年度奖金,过节福利,周末双休","['3', '5']",4.0,"['12', '20']",14.0
深圳库尚信息技术有限公司,shein,2000人以上,B轮,南山区,python开发工程师,1-3年,大专,12k-24k,"发展前景,环境好,双休,氛围好","['1', '3']",2.0,"['12', '24']",15.0
深圳市新华云帆科技有限公司,新华云帆,150-500人,B轮,南山区,python后台开发工程师,3-5年,本科,15k-25k,"五险一金,周末双休,定期体检,餐饮补助","['3', '5']",4.0,"['15', '25']",17.5
深圳酷竞科技有限公司,酷竞NBA,15-50人,天使轮,南山区,Python开发工程师,3-5年,本科,15k-25k,"涨薪频率快,转正享年假,无限下午茶,含薪假期","['3', '5']",4.0,"['15', '25']",17.5
武汉烧麦财播科技有限公司,武汉烧麦财播科技有限公司,50-150人,不需要融资,南山区,Python开发工程师（深圳公司）,3-5年,本科,18k-25k,"福利多,机会多,富有挑战性","['3', '5']",4.0,"['18', '25']",19.75
深圳绿米联创科技有限公司,绿米,150-500人,B轮,南山区,python开发工程师,不限,本科,12k-20k,"福利待遇高,平台发展好,前沿行业",[],0.0,"['12', '20']",14.0
